x1,x2,y
A2,B1,5.193748296468283
A1,B1,0.9002939685395641
A1,B1,-0.43225644939913144
A2,B1,4.349754943472188
A2,B2,1.3755437289274313
A1,B1,1.3396810507401788
A2,B2,0.28551687788411084
A2,B2,1.5243726786526
A2,B2,-0.5431325186494766
A1,B2,-1.1275812140179586
A2,B1,5.323876753773995
A1,B1,0.639944342434552
A2,B2,0.999039763128254
A1,B1,0.7070170782531524
A2,B2,-0.154659357940663
A2,B1,4.619730888329635
A2,B2,2.2173630415803656
A2,B1,5.5696938888876355
A1,B2,0.3215345094935755
A1,B1,1.302149503015735
A2,B2,2.3689301895670365
A1,B2,-1.2708666560494848
A1,B1,1.5763179495148005
A1,B2,-0.2152898961425206
A1,B2,0.8286498128801398
A1,B2,-0.7290694755304781
A2,B2,0.7389347719166265
A2,B1,4.845984920121462
A2,B1,4.029558561040982
A2,B2,2.1892996549251995
A2,B1,7.378137570957947
A1,B2,-0.3561867145331453
A1,B2,1.4517782565823039
A1,B2,-1.660540988808198
A1,B2,-0.8407172545052638
A2,B1,4.005774760356114
A1,B2,0.41242632483867164
A1,B2,0.7828207964389069
A1,B2,-0.3588984494062949
A1,B1,1.6471886492098191
A1,B1,0.2662019491273534
A2,B2,1.1353536005307734
A2,B2,1.1373596573981493
A1,B1,1.4545840949574975
A2,B1,6.652905105653666
A1,B2,-1.239939288157663
A2,B2,-0.5109714735408031
A2,B1,4.055852228936111
A2,B2,0.20510025937492316
A1,B1,0.905836367448408
A1,B1,1.1827154799055146
A2,B2,-0.0785356463039113
A1,B2,0.4477388570436413
A1,B2,1.0347599992033913
A2,B2,0.07595387722101632
A2,B1,7.087358837014277
A1,B1,0.5743249793692479
A1,B1,0.9221262121588569
A1,B1,0.2912966000966123
A2,B1,4.6124326294425595
A2,B1,6.309564295458966
A1,B2,0.8114046345541504
A1,B1,1.018885370729275
A2,B1,5.329413409111397
A1,B2,-2.047893061360711
A2,B2,1.1302909831777779
A2,B1,5.068767393927453
A1,B2,-1.192617305569795
A2,B2,-0.11556516778041703
A1,B2,2.101613209647288
A2,B2,0.8391855030207976
A1,B1,0.48852598011996495
A1,B1,3.2403808046022227
A2,B2,2.435594009903188
A2,B1,3.5183776322175646
A1,B2,-1.3999099446119245
A1,B2,-2.1799046362756145
A2,B1,3.966925085816877
A2,B2,0.6859130999173064
A2,B1,5.163309969527693
A1,B1,2.6975330410012006
A1,B1,1.4411552978835562
A2,B1,4.9503840181931364
A1,B1,0.04486469772562629
A1,B1,0.7248917230144747
A2,B1,5.372411557458845
A2,B1,4.670777241181164
A1,B1,0.2200209927163408
A1,B1,2.5443177280854004
A2,B2,-0.45330461888854723
A2,B2,-1.0701473886448092
A2,B1,4.961718182417273
A2,B2,2.2047151974611507
A1,B2,0.789787307523528
A2,B2,0.3710512123333708
A2,B2,1.7330994387090284
A2,B1,4.520810544746142
A1,B2,0.8126444611518049
A2,B1,4.434962654482748
A2,B2,-0.45897812620767775
A1,B2,0.3341729633234602
A1,B1,0.8160334859300724
A1,B2,0.005611598792995229
A1,B2,0.4125395127778918
A1,B1,2.4985286410545546
A2,B2,2.1627100163120816
A1,B1,1.6247101315445613
A2,B1,6.572346592062729
A1,B1,0.7396526800129304
A2,B1,5.3081007756142675
A2,B1,3.0347281010925
A1,B2,0.11982431662675298
A2,B2,2.6111340550764934
A1,B1,0.3335969076067796
A2,B2,0.6041246103799418
A2,B1,5.831721047950901
A1,B2,-0.9482299606964684
A1,B2,-0.32252542591948624
A2,B1,2.4611783256374014
A2,B1,4.5605251928941275
A1,B1,1.8359617635878762
A2,B1,4.875884100812092
A1,B1,0.602813142761335
A1,B1,2.776470761944101
A1,B2,0.64510227916222
A2,B1,4.286279255450475
A2,B2,1.5922576709674994
A2,B1,4.706854443148556
A1,B1,0.1060006040016872
A1,B1,0.8549176546048742
A1,B2,1.5476766203098486
A2,B1,3.8639067568805094
A2,B1,5.807653561598233
A2,B1,4.701866643269182
A1,B2,-0.20368293304510685
A2,B1,7.045636788600845
A2,B2,3.063111721627162
A1,B2,0.4460692531566165
A2,B1,3.32804380313258
A2,B2,1.521509171021707
A1,B2,-0.05905617349413428
A2,B2,2.3858986330505916
A1,B1,-0.6015649563228818
A2,B1,4.60183358752607
A2,B1,2.7895644858698683
A2,B2,1.6513095554175323
A1,B2,-1.2086080113266573
A1,B2,-1.782600411565564
A2,B1,6.205567362538886
A1,B2,0.106910405979058
A2,B2,0.5535670177288847
A1,B2,0.2526585706309364
A1,B1,0.8029063745474693
A2,B1,5.033611878029906
A2,B2,0.14921394613979022
A2,B1,5.038549180354683
A1,B1,-1.0968271422744826
A1,B2,0.9666847772872168
A2,B2,1.8598072136915476
A1,B2,0.3751406294897895
A2,B1,4.883068418322874
A1,B2,-0.8014544597705187
A1,B2,-0.39245864667246316
A2,B2,0.7467642240191447
A2,B2,2.489326105922955
A1,B1,0.2475634397773041
A1,B2,0.502114034985733
A2,B1,4.504619436053309
A2,B2,1.2814392116436246
A2,B2,0.519640900545201
A1,B2,-0.118272186708736
A2,B1,4.429191269714283
A1,B1,2.3413825263778225
A2,B2,0.6849166665159361
A2,B2,0.5462620797022026
A2,B1,5.00250994230567
A2,B2,0.6271983745405656
A1,B1,-1.4759061949394225
A1,B1,1.1812243087238172
A2,B2,1.9110300946304029
A2,B2,1.049358951067609
A1,B2,-2.316380288674171
A2,B2,0.5030013272641446
A1,B2,-0.7798888323007366
A1,B1,-0.13324826870555317
A1,B1,0.4962401274910435
A2,B1,5.240941027385437
A1,B1,2.584984754765978
A2,B2,0.14898497811030553
A1,B1,0.07534265476839841
A2,B1,3.6180804417798687
A2,B1,3.956623556387173
A2,B2,1.936601369130163
A1,B1,0.17924057926213166
A1,B2,-1.3742040169644507
A2,B2,0.4999178421696866
A1,B2,-2.1618039715425206
A1,B1,1.9751041880030809
A1,B2,1.1945147292635314
A2,B1,3.9458518833907386
A2,B1,4.067823548000423
A2,B2,1.4807295278024144
A1,B1,1.1119153387902112
A1,B2,0.0900661600938045
A1,B1,2.161946052726468
A2,B1,4.531041028467666
A2,B1,5.96613502200256
A1,B1,0.4151073904344472
A2,B2,2.4367073642170594
A1,B2,-0.2992288972207504
A1,B1,-0.2570452827823191
A2,B2,2.217537181796607
A1,B2,0.08372467172239043
A1,B1,1.1662942362332644
A2,B2,-0.5595554656882753
A2,B1,4.839096715131265
A1,B1,0.2933212199941003
A2,B2,1.160913387080567
A2,B2,1.1261819670648094
A2,B2,2.501772998183082
A2,B1,6.343101102649822
A2,B1,5.0768265649776
A2,B2,0.11049947491671752
A1,B1,1.685448067564785
A2,B2,-0.7811204445610005
A2,B1,3.994680075127329
A2,B1,4.172031638798148
A2,B2,-0.037194360158301576
A1,B2,0.1379944201737966
A1,B2,-0.2760291610500968
A1,B2,0.6561924231918708
A2,B2,0.472023967302886
A1,B2,2.8014447648836827
A2,B2,0.7131356022898987
A1,B1,1.1487593898341892
A2,B2,-1.8434550588551502
A1,B1,1.2241635654295258
A1,B2,0.7560614694297054
A2,B2,0.7825584007929638
A1,B1,0.3677039215103456
A1,B1,1.81857647798657
A1,B2,-1.914941059269672
A2,B2,2.5982546509677595
A1,B1,2.3911193922626324
A2,B2,0.6825304739456111
A2,B1,6.123801075222146
A1,B1,1.7390467236726352
A2,B2,2.273279542240605
A2,B2,0.5311596194959708
A1,B2,-0.27717206517176024
A2,B2,0.5517616198205183
A2,B1,6.170820101929484
A1,B2,-0.06270752821848818
A1,B1,0.5162172014373604
A1,B1,1.3304459028820599
A1,B1,0.5779033833317976
A2,B2,1.8027323978514413
A2,B2,1.9500307314219476
A2,B1,5.791677961677038
A1,B2,-1.427053619927012
A2,B1,3.8604169725897375
A1,B1,0.8008833027532332
A1,B1,1.0161556560236673
A1,B2,0.37411182469538656
A1,B1,3.5187478661174003
A2,B2,1.4396331400736477
A2,B1,4.804535081135442
A2,B2,0.5727092024223761
A2,B2,1.6808620231029294
A1,B1,2.4903403905407933
A1,B1,-0.10113313346377573
A2,B2,0.7185952524863386
A1,B2,-0.9470205747498338
A2,B1,5.339920155287225
A1,B1,2.439865478885833
A1,B1,1.9973833908032719
A1,B1,1.3048867789855714
A1,B1,0.3770975406080773
A1,B2,-0.6400738320758259
A1,B1,1.6408138692713148
A2,B2,0.7016674925963484
A1,B1,1.0025726569267164
A2,B1,4.910374328371407
A2,B1,6.2170809299822904
A1,B2,-1.245362836043973
A1,B1,2.3200268076512693
A1,B2,1.0061997533235671
A1,B1,0.7982998801410341
A2,B1,6.189045857006607
A1,B2,-0.2506409772579491
A2,B2,1.2491165052637698
A1,B2,0.2759459449902575
A2,B1,4.4283422341386185
A2,B2,0.6926689728336257
A1,B1,2.0616634978103443
A1,B1,0.4966567812864954
