x,y
B,3.240492142061382
B,3.177085337940719
A,-0.7550995569460414
A,0.6519253542488864
A,0.7498366257361022
B,1.2281315052185635
B,3.282762803609925
B,2.1091281163004347
B,2.4359431925503237
A,0.11485990077990788
A,0.03448764803679438
A,0.25870777253868166
A,1.4199201272804804
A,0.021657553982407745
A,0.3053297783225614
A,-0.18564254525309895
B,0.9125022877576456
B,3.35498229326992
B,1.5471678496998036
B,2.625302744402164
B,2.0595923509514305
B,3.4602373335922745
B,2.824183276232143
A,0.612083178817382
A,0.18190993252665932
A,0.7574805453630089
B,1.6231859366995425
A,0.647702724434478
B,0.7670228834410517
A,1.664539157213863
A,1.8423336468272167
B,2.6270449889937546
B,3.189908424282385
A,0.03210020876267475
A,-1.0032316609118608
A,0.7777893454141646
A,-0.19169503754197587
B,2.4970997022612207
A,1.3195074085401106
B,2.681947226587633
A,-1.1925892719758886
A,-2.850656872951771
A,-0.6792114567452114
B,3.07257109608985
B,3.0786374854615657
B,1.9131529864372434
A,-0.5757826584901897
B,1.5681852011338164
A,1.3276796344823552
A,0.29092242815188935
A,-1.3471031491702699
A,-0.013473913112439232
A,-0.003538527565582464
B,3.3375949929109154
B,2.7530820995718033
A,1.8307611434787219
B,2.391712652569165
A,1.688611844404054
B,2.802007696060794
B,3.526544145442328
A,0.07226902463223239
A,-0.2430814369997819
A,0.35486689119845916
B,2.926328500056541
B,3.240452097662255
A,-0.4167094618034558
B,2.586972261531809
B,2.2044189369654323
B,1.2010936524606288
A,0.48724323641805667
B,3.935732203655034
B,3.656368738058247
B,1.0103223736137967
B,2.1053151182891523
A,-0.8707779085574141
B,3.835951440363488
A,-1.685695049749427
B,4.207953896330337
A,1.5127877435999326
B,3.4871362717039647
A,0.020800557733598114
A,0.12443194339733116
B,3.5460510463435138
B,3.194333025227507
A,-0.5074243477621573
A,0.32815227941388814
A,-0.469959418127679
A,1.0644152978259969
A,-0.17949729566907469
B,2.6500616942102693
B,4.020124300073076
A,-0.48991641581300915
A,0.958807642522779
A,-1.6756543820230634
A,0.5749679933433592
B,4.119374666222027
A,0.9575492227577088
A,-1.4857255247941135
A,-0.8494608547343493
B,3.127129780331526
B,2.4945545784894394
B,3.9343757790918437
B,2.4004017694465274
B,3.790062920401606
A,1.5615698185594566
A,-0.298128669200027
B,2.883704850934504
A,0.4118521234604465
A,2.33899613026463
B,4.470349829681723
B,2.6694010634187304
A,-1.4019453918544047
B,2.904647415072705
B,2.837393091894703
A,2.0213174892150665
B,1.8770150481387007
B,2.0580100273314073
B,3.215203076883161
B,1.8949557278894646
B,3.698708238952273
A,-0.15340512220579297
A,1.3087180593470862
B,3.691974212354312
B,3.4018939738736207
A,1.1892648287970737
A,-0.21540091215175708
B,3.8962830454998154
B,3.666393565184621
A,-0.7664782681680884
A,1.1933318021403765
B,2.898787247728592
B,1.755820622985459
A,-0.5170322803088412
B,1.6869459392294475
B,5.3709400861069625
A,-1.244401079865825
A,1.5489807361657055
B,2.5493108051118867
B,3.7484569830283965
A,-0.7447713243419951
B,1.1900019129556356
B,4.889823444119518
A,0.5614540292863859
B,3.0927676768682413
A,1.1703117379154613
A,0.7958587077432133
B,2.855451595573992
A,-0.0844117931788489
A,-0.352457914453822
B,5.112622625263466
A,-1.3479345995524803
B,2.5471563899652647
A,0.26815356866874984
A,-0.474381753704347
B,3.213653789254197
B,3.3434793663715623
B,2.0562648300417563
B,2.676092048458619
B,4.957069077135617
A,-0.01910857397000673
A,1.9054655033743422
A,2.039672676626731
B,4.894154819697065
B,3.371020296601245
A,1.6619967293374704
A,0.48756923131523267
B,3.7390965158000693
B,5.0403838521971105
B,2.3980177348470617
B,2.6825070086722103
A,-0.8269142317340625
A,0.7679248085741576
A,-0.6021679685165543
B,2.6771838414266242
B,1.670097896887825
A,0.09038770704373657
B,2.347187905838804
A,1.6984510673372855
A,2.4826701822252875
B,2.550507370156149
A,-0.15236416237064368
B,2.1340896576326784
A,1.462917568808469
B,3.4534740825813173
B,2.9071802860293503
A,1.4103436451664721
B,2.890767154383028
B,2.0499287322501925
A,0.9057562846391678
A,0.9889380824021163
B,5.525410942672625
A,0.3999880426819722
B,1.6021682268220203
A,-0.5874656936499641
A,-0.5466581806551359
B,2.235135746629318
