x,y
3.82418808331753,2.0611582631926693
3.479966003101048,2.644356598173239
4.173468012092025,3.748112046248586
3.9090480687850206,4.161935846746503
2.428278548100541,3.6032812691249516
2.890502732274189,1.9271294426851717
3.0190282649084623,3.7406208844751903
2.0562389354706054,2.0315572826381136
3.6405731531379173,2.8273051272293883
2.213556828367877,-0.26539330422547236
3.6088699932750012,4.106073011898609
2.068988151162405,1.5876509517252742
3.9782222481294287,4.650885851342959
2.263081939354738,0.8294435660971355
2.701267381826478,2.259403400754891
2.539412625065277,2.5129643882272203
1.9112070139908122,1.3701989241791845
2.424229254330231,2.293285488220046
1.3170992290156114,0.8064134918535154
3.2291852477040215,3.831630307077011
1.2433747765675167,1.5914473180135942
3.8446326186649475,3.5888482478666246
3.2772198634101213,4.188585052188343
3.8529015329736076,1.7186629939845397
3.1945996030441184,3.083901050276228
4.310637715724958,3.5382348875734477
4.543843600065797,3.4086266779554757
2.4709519757125245,2.154523874944794
2.343527702658469,0.7963468007398904
2.7984942988972894,1.8770138386709228
2.299384167171076,-0.16628073527711917
3.68713795436355,5.42009491690302
2.973924243589625,1.965354482112621
2.1702416802536093,3.2251156946263557
3.296553783899047,4.581954481423338
2.6873204963707664,0.989351457770856
2.3886987255930805,3.644512845709229
2.17824849521185,2.954492127977416
3.897122703106608,3.864571396215368
3.1360786117980632,1.3944071843136117
2.7413451989418993,1.5541523102682704
4.110765640931086,4.443996190570011
2.8115756126542486,3.4732303884245153
2.958510707083677,2.390391394020734
2.015208087670632,1.4562070984855933
1.6477182414888285,1.5603750520265087
3.194323845491779,1.5100388449226327
3.2672393511675897,0.6143960084037188
2.573526301899771,3.564900322298695
4.447735057362815,4.891767301779611
2.8036938998487746,2.67538522890759
4.5181451400439645,4.822712031922902
3.0772218827549107,4.679087615060435
2.9360086758603945,3.0360510370123595
3.9459234072350853,4.819634245254276
4.2040910054520015,6.459233849951897
2.5487592646598456,3.400470547227955
1.4125534901612908,1.3698319751181296
1.1311445191214111,1.1356908563793273
3.100377373223143,4.660635026517571
-0.09487058948820071,-0.29743718779394324
6.3935167820888585,7.633618913570412
2.8733312213008615,3.2940206142887853
2.0628697409418564,2.623890649543544
3.565525290566024,3.2486944417272756
